ISBN,result,price_paperback,price_hardcover
8878188808,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n    \n                             from $14.69                \n\n\n   \n     1 New from $14.69      '], '8878188808')",,
0825305187,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $9.71  \n\n\n   \n     67 Used from $1.29         20 New from $4.48         10 Collectible from $4.95      '], '0825305187')",,9.71
0151012741,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $20.53  \n\n\n   \n     70 Used from $1.35         5 New from $11.91         4 Collectible from $8.95      ', '  Paperback  \n    \n                             from $2.00                \n\n\n   \n     39 Used from $2.00         21 New from $12.70      ', '  Audio CD  \n $19.99  \n\n\n   \n     3 New from $13.89      '], '0151012741')",,20.53
0807817635,"(['  Library Binding  \n    \n                             from $197.00                \n\n\n   \n     1 Used from $197.00      ', '  Paperback  \n $5.95  \n\n\n   \n     5 Used from $5.61      '], '0807817635')",5.95,
0460870947,"(['  Paperback  \n $9.56  \n\n\n   \n     10 Used from $2.34      ', '  Mass Market Paperback  \n $54.96  \n\n\n   \n     7 Used from $36.96         4 New from $104.94      '], '0460870947')",9.56,
1433214296,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.99  \n\n\n   \n     77 Used from $1.49         13 New from $7.29         6 Collectible from $8.96      ', '  Paperback  \n $12.99  \n\n\n   \n     34 Used from $1.46         7 New from $9.35      ', '  Audio CD  \n $15.42  \n\n\n   \n     4 Used from $5.99         3 New from $12.47      '], '1433214296')",12.99,19.99
0199536848,"(['  Kindle  \n $7.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.99  \n\n\n   \n     1 New from $13.99      ', '  Paperback  \n $3.99  \n\n\n   \n     27 Used from $1.55         13 New from $3.99      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     45 Used from $2.06         17 New from $2.95      ', '  Audio CD  \n $9.99  \n\n\n   \n     1 New from $9.99      ', '  Pocket Book  \n $7.95  \n\n\n   \n     52 Used from $1.96         21 New from $6.82         2 Collectible from $19.00      '], '0199536848')",3.99,13.99
2020479907,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n    \n                             from $29.99                \n\n\n   \n     1 Used from $29.99      ', '  Paperback  \n $1.67  \n\n\n   \n     16 Used from $1.67      ', '  Mass Market Paperback  \n    \n                             from $16.50                \n\n\n   \n     1 Used from $16.50      ', '  Pocket Book  \n $28.95  \n\n\n   \n     9 Used from $2.50         2 New from $28.95      '], '2020479907')",1.67,
031214752X,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $6.37  \n\n\n   \n     14 Used from $2.87         1 New from $50.00      ', '  Paperback  \n $7.31  \n\n\n   \n     7 Used from $4.27         1 New from $108.48      ', '  Mass Market Paperback  \n $39.95  \n\n\n   \n     42 Used from $1.30         2 New from $39.95      ', '  Audio CD  \n $101.95  \n\n\n   \n     1 New from $101.95      '], '031214752X')",7.31,6.37
3423210796,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.04  \n\n\n   \n     7 Used from $7.25         3 New from $65.93      ', '  Paperback  \n $9.85  \n\n\n   \n     4 Used from $9.85      ', '  MP3 CD  \n $17.64  \n\n\n   \n     1 Used from $17.64         9 New from $15.83      ', '  Pocket Book  \n    \n                             from $12.95                \n\n\n   \n     1 Used from $12.95      '], '3423210796')",9.85,13.04
9681647289,"(['  Library Binding  \n $19.81  \n\n\n   \n     1 Used from $19.81      ', '  Paperback  \n $9.17  \n\n\n   \n     3 Used from $5.20         6 New from $16.51      ', '  Mass Market Paperback  \n    \n                             from $43.34                \n\n\n   \n     1 Used from $43.34         1 New from $58.02      '], '9681647289')",9.17,
0446403989,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.99  \n\n\n   \n     70 Used from $1.99         6 New from $8.78         2 Collectible from $9.18      ', '  Paperback  \n $5.15  \n\n\n   \n     30 Used from $1.18         1 New from $18.95      ', '  Mass Market Paperback  \n $9.96  \n\n\n   \n     8 Used from $3.45         1 New from $9.96      ', '  Audio CD  \n $39.65  \n\n\n   \n     2 New from $19.99      '], '0446403989')",5.15,14.99
3551581738,"(['  Hardcover  \n $6.00  \n\n\n   \n     3 Used from $6.00      '], '3551581738')",,6.0
1423106407,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $9.28  \n\n\n   \n     45 Used from $0.50         11 New from $4.99         6 Collectible from $4.99      ', '  Paperback  \n $11.99  \n\n\n   \n     41 Used from $1.37         1 New from $24.99      ', '  MP3 CD  \n $24.95  \n\n\n   \n     1 Used from $10.98         1 New from $24.95      '], '1423106407')",11.99,9.28
2723428583,"(['  Paperback  \n $60.27  \n\n\n   \n     2 Used from $60.25      '], '2723428583')",60.27,
0312385293,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $31.50  \n\n\n   \n     35 Used from $1.75         3 New from $22.80         13 Collectible from $9.95      ', '  Paperback  \n $24.99  \n\n\n   \n     36 Used from $1.95         13 New from $18.61      ', '  Mass Market Paperback  \n $7.02  \n\n\n   \n     25 Used from $1.35         1 New from $9.00      ', '  Audio CD  \n $39.95  \n\n\n   \n     2 New from $19.97      '], '0312385293')",24.99,31.5
3899414500,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $8.15  \n\n\n   \n     2 Used from $8.15      '], '3899414500')",8.15,
8498168783,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $18.00  \n\n\n   \n     1 New from $18.00      ', '  Paperback  \n $14.57  \n\n\n   \n     1 Used from $19.26         2 New from $7.95      '], '8498168783')",14.57,18.0
0613714342,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  School & Library Binding  \n $4.95  \n\n\n   \n     1 Used from $4.95         1 Collectible from $598.00      ', '  Paperback  \n $8.99  \n\n\n   \n     164 Used from $1.00         21 New from $5.90         4 Collectible from $5.50      ', '  Audio CD  \n $25.95  \n\n\n   \n     7 Used from $11.51         5 New from $18.69      '], '0613714342')",8.99,
1585470406,"(['  Kindle  \n $9.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $7.01  \n\n\n   \n     8 Used from $5.69         4 Collectible from $53.98      ', '  Paperback  \n $17.54  \n\n\n   \n     23 Used from $2.99         1 Collectible from $17.10      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     19 Used from $1.81         5 New from $5.99         1 Collectible from $17.10      ', '  MP3 CD  \n $18.74  \n\n\n   \n     2 New from $14.97      '], '1585470406')",17.54,
