ISBN,result,price_paperback,price_hardcover
1436148707,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.49  \n\n\n   \n     114 Used from $1.43         1 New from $34.99         33 Collectible from $7.49      ', '  Paperback  \n $17.00  \n\n\n   \n     130 Used from $1.35         20 New from $11.00         5 Collectible from $5.75      ', '  Audio CD  \n $38.55  \n\n\n   \n     7 Used from $18.89         10 New from $26.99      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '1436148707')",17.0,9.49
1597899968,"([], '1597899968')",,
1603090193,"(['  Hardcover  \n    \n                        \n    —\n             \n\n\n   \n  ', '  Paperback  \n    \n                        \n    —\n             \n\n\n   \n  '], '1603090193')",,
0674410068,"([], '0674410068')",,
1864761415,"(['  Paperback  \n $10.79  \n\n\n   \n     6 Used from $6.80      '], '1864761415')",10.79,
156663122X,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $15.81  \n\n\n   \n     4 Used from $8.00      ', '  Paperback  \n $9.95  \n\n\n   \n     31 Used from $1.98         20 New from $5.00         1 Collectible from $10.00      ', '  Audio CD  \n $14.95  \n\n\n   \n     2 New from $7.47      '], '156663122X')",9.95,15.81
2859403906,"(['  Paperback  \n $35.60  \n\n\n   \n     5 Used from $2.50         5 New from $23.27      '], '2859403906')",35.6,
1423356055,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $28.35  \n\n\n   \n     36 Used from $4.00         7 New from $24.36         4 Collectible from $19.90      ', '  Paperback  \n $7.99  \n\n\n   \n     76 Used from $1.13         21 New from $5.99      ', '  Mass Market Paperback  \n    \n                             from $1.95                \n\n\n   \n     33 Used from $1.95         12 New from $4.70      ', '  Audio CD  \n $16.44  \n\n\n   \n     4 Used from $11.97      '], '1423356055')",7.99,28.35
1437504744,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n    \n                             from $25.16                \n\n\n   \n     4 New from $25.16      ', '  Paperback  \n $21.99  \n\n\n   \n     1 Used from $14.99         1 New from $21.99      '], '1437504744')",21.99,
0749717955,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $3.69  \n\n\n   \n     15 Used from $1.50         1 Collectible from $6.00      ', '  Paperback  \n $8.56  \n\n\n   \n     10 Used from $0.01         3 New from $22.54      ', '  Mass Market Paperback  \n $40.98  \n\n\n   \n     1 Used from $36.80         1 New from $40.98      '], '0749717955')",8.56,3.69
0399232192,"([], '0399232192')",,
0552156159,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $7.99  \n\n\n   \n     34 Used from $1.30         3 New from $32.95      ', '  Paperback  \n $9.19  \n\n\n   \n     23 Used from $2.50         11 New from $7.76      ', '  Mass Market Paperback  \n $8.36  \n\n\n   \n     11 Used from $4.32      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '0552156159')",9.19,7.99
1569475520,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $6.14  \n\n\n   \n     6 Used from $6.14         1 New from $14.00         1 Collectible from $9.31      ', '  Paperback  \n $13.00  \n\n\n   \n     3 Used from $3.25         2 New from $13.00      '], '1569475520')",13.0,6.14
0373254652,"(['  Hardcover  \n    \n                             from $63.96                \n\n\n   \n     2 Used from $63.96      ', '  Paperback  \n $8.56  \n\n\n   \n     6 Used from $3.92      ', '  Mass Market Paperback  \n $5.75  \n\n\n   \n     18 Used from $1.73         1 Collectible from $6.99      '], '0373254652')",8.56,
1590785339,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $6.98  \n\n\n   \n     15 Used from $1.89         1 New from $26.80      ', '  Paperback  \n $9.95  \n\n\n   \n     18 Used from $1.30         11 New from $7.70      '], '1590785339')",9.95,6.98
0684801361,"(['  Kindle  \n $14.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $8.34  \n\n\n   \n     13 Used from $4.35         7 Collectible from $10.00      ', '  Paperback  \n $5.99  \n\n\n   \n     21 Used from $1.50         1 New from $7.98         1 Collectible from $5.50      '], '0684801361')",5.99,8.34
038560176X,"(['  Hardcover  \n $11.18  \n\n\n   \n     4 Used from $7.20      ', '  Paperback  \n    \n                             from $44.06                \n\n\n   \n     5 Used from $44.06         2 New from $47.82      '], '038560176X')",,11.18
0783880340,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.40  \n\n\n   \n     5 Used from $2.34      ', '  Paperback  \n $8.95  \n\n\n   \n     3 Used from $8.95      ', '  Mass Market Paperback  \n $9.62  \n\n\n   \n     12 Used from $2.60      ', '  Audio CD  \n $29.95  \n\n\n   \n     1 Used from $10.49         3 New from $7.64      '], '0783880340')",8.95,16.4
1410406792,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $5.99 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.15  \n\n\n   \n     4 Used from $5.17      ', '  Paperback  \n $16.16  \n\n\n   \n     82 Used from $1.43         10 New from $9.28         1 Collectible from $8.50      ', '  Audio CD  \n $42.02  \n\n\n   \n     2 New from $21.49      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '1410406792')",16.16,9.15
0140328629,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $36.65  \n\n\n   \n     3 Used from $36.65      ', '  Paperback  \n $26.96  \n\n\n   \n     5 Used from $22.98      ', '  Audio CD  \n $9.99  \n\n\n   \n     3 New from $8.76      '], '0140328629')",26.96,36.65
0802725708,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $15.23  \n\n\n   \n     1 Used from $37.63         5 New from $15.23      ', '  Paperback  \n $24.70  \n\n\n   \n     5 Used from $17.37         1 New from $24.70      ', '  Mass Market Paperback  \n $1.04  \n\n\n   \n     5 Used from $1.04      '], '0802725708')",24.7,15.23
1593079354,"(['  Kindle & Comixology  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $10.25  \n\n\n   \n     4 Used from $10.24         2 Collectible from $24.99      '], '1593079354')",10.25,
0606341145,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  School & Library Binding  \n $13.27  \n\n\n   \n     3 Used from $8.00         1 New from $13.27      ', '  Paperback  \n $4.75  \n\n\n   \n     1 Used from $4.75      '], '0606341145')",4.75,
0586044051,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n    \n                             from $21.35                \n\n\n   \n     7 Used from $21.35      ', '  Paperback  \n $15.95  \n\n\n   \n     13 Used from $6.35         11 New from $11.95         1 Collectible from $25.00      ', '  Mass Market Paperback  \n $12.50  \n\n\n   \n     4 Used from $4.48         1 Collectible from $20.00      ', '  Audio, Cassette  \n $9.95  \n\n\n   \n     2 Used from $9.95         1 New from $17.95      '], '0586044051')",15.95,
1419340565,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $15.99  \n\n\n   \n     101 Used from $1.59         12 New from $5.36         14 Collectible from $4.75      ', '  Paperback  \n $12.99  \n\n\n   \n     20 Used from $4.87         21 New from $7.59         1 Collectible from $18.95      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     50 Used from $1.30         6 New from $4.61         1 Collectible from $4.54      ', '  Audio CD  \n $11.98  \n\n\n   \n     9 Used from $8.90      '], '1419340565')",12.99,15.99
0345301285,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $33.90  \n\n\n   \n     81 Used from $2.00         7 New from $28.09         7 Collectible from $6.25      ', '  Paperback  \n $40.99  \n\n\n   \n     7 Used from $6.00         3 New from $40.98      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     20 Used from $0.20         1 Collectible from $4.25      '], '0345301285')",40.99,33.9
1878298186,"([], '1878298186')",,
0307282678,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $10.74  \n\n\n   \n     6 Used from $9.10         10 New from $10.74      ', '  Paperback  \n $6.99  \n\n\n   \n     15 Used from $2.58         14 New from $6.67      ', '  Audio CD  \n $15.13  \n\n\n   \n     8 Used from $15.12      '], '0307282678')",6.99,
1410405702,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $5.98  \n\n\n   \n     9 Used from $5.98      ', '  Paperback  \n $11.39  \n\n\n   \n     70 Used from $1.49         18 New from $6.56         2 Collectible from $24.00      '], '1410405702')",11.39,5.98
2020159112,"(['  Paperback  \n $20.00  \n\n\n   \n     3 Used from $11.27      ', '  Mass Market Paperback  \n $2.50  \n\n\n   \n     6 Used from $2.50      ', '  Pocket Book  \n $21.30  \n\n\n   \n     5 Used from $6.31         4 New from $21.30      '], '2020159112')",20.0,
0061008109,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $11.33  \n\n\n   \n     52 Used from $2.95         2 New from $59.79         5 Collectible from $9.99      ', '  Paperback  \n $10.56  \n\n\n   \n     26 Used from $0.03      ', '  Mass Market Paperback  \n $6.27  \n\n\n   \n     42 Used from $1.36      '], '0061008109')",10.56,11.33
0460874934,"(['  Kindle  \n $0.95  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $17.98  \n\n\n   \n     1 New from $17.98         1 Collectible from $10.00      ', '  Paperback  \n $5.00  \n\n\n   \n     10 Used from $2.00         1 New from $5.00      ', '  Mass Market Paperback  \n $5.34  \n\n\n   \n     27 Used from $1.29      ', '  MP3 CD  \n $29.99  \n\n\n   \n     1 New from $29.99      '], '0460874934')",5.0,17.98
0778327124,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $18.87  \n\n\n   \n     29 Used from $3.50         2 New from $14.88         3 Collectible from $27.00      ', '  Paperback  \n $10.99  \n\n\n   \n     46 Used from $1.72         13 New from $5.10      '], '0778327124')",10.99,18.87
0385730772,"(['  Hardcover  \n $121.13  \n\n\n   \n     3 Used from $96.50         1 Collectible from $38.67      ', '  Paperback  \n $24.49  \n\n\n   \n     13 Used from $5.53         1 Collectible from $34.00      ', '  Mass Market Paperback  \n    \n                             from $129.06                \n\n\n   \n     2 Used from $129.06      '], '0385730772')",24.49,121.13
1402763069,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $15.35  \n\n\n   \n     33 Used from $1.30         4 New from $6.35         2 Collectible from $14.50      ', '  Paperback  \n $6.48  \n\n\n   \n     18 Used from $2.59         1 New from $33.52         1 Collectible from $7.00      '], '1402763069')",6.48,15.35
1596001399,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $37.84  \n\n\n   \n     11 Used from $5.00         1 New from $89.63      ', '  Paperback  \n $3.82  \n\n\n   \n     1 New from $3.82      ', '  Mass Market Paperback  \n $7.72  \n\n\n   \n     124 Used from $1.15         4 New from $11.41         2 Collectible from $4.25      ', '  Audio CD  \n $99.97  \n\n\n   \n     16 Used from $5.96      '], '1596001399')",3.82,37.84
1436141311,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $88.96  \n\n\n   \n     5 Used from $29.75         3 New from $78.56      ', '  Paperback  \n $13.49  \n\n\n   \n     95 Used from $1.89         13 New from $9.24         2 Collectible from $14.99      ', '  Mass Market Paperback  \n $11.90  \n\n\n   \n     36 Used from $1.91         4 New from $11.90      ', '  Audio CD  \n $18.99  \n\n\n   \n     7 Used from $5.68      '], '1436141311')",13.49,88.96
8467022175,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $21.83  \n\n\n   \n     1 New from $21.83      ', '  Paperback  \n    \n                             from $9.00                \n\n\n   \n     3 Used from $9.00      '], '8467022175')",,21.83
078621824X,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $23.95  \n\n\n   \n     2 Used from $22.72         1 New from $23.95      ', '  Paperback  \n $8.85  \n\n\n   \n     38 Used from $1.30         5 New from $7.00         1 Collectible from $4.25      ', '  Audio CD  \n $42.01  \n\n\n   \n     2 New from $21.49      '], '078621824X')",8.85,23.95
0061470767,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $17.99  \n\n\n   \n     20 Used from $1.37         5 New from $11.16         2 Collectible from $7.49      ', '  Paperback  \n $6.99  \n\n\n   \n     24 Used from $1.20         9 New from $5.40         1 Collectible from $20.47      ', '  Audio CD  \n $29.99  \n\n\n   \n     2 New from $14.99      '], '0061470767')",6.99,17.99
1857151909,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.67  \n\n\n   \n     12 Used from $16.17      ', '  Paperback  \n $21.99  \n\n\n   \n     12 Used from $4.93         17 New from $18.97      ', '  Audio CD  \n $34.99  \n\n\n   \n     4 Used from $12.63         3 New from $15.92      '], '1857151909')",21.99,16.67
0394603397,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $50.00  \n\n\n   \n     2 Used from $50.00      ', '  Paperback  \n $14.99  \n\n\n   \n     37 Used from $3.50         29 New from $10.42         4 Collectible from $9.20      '], '0394603397')",14.99,50.0
0543691780,"(['  Paperback  \n $23.99  \n\n\n   \n     1 Used from $11.95         4 New from $19.50      '], '0543691780')",23.99,
2130468128,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n    \n                             from $28.99                \n\n\n   \n     1 Used from $28.99      ', '  Paperback  \n $16.00  \n\n\n   \n     1 Used from $16.00      ', '  Mass Market Paperback  \n $4.42  \n\n\n   \n     4 Used from $4.42      ', '  Board book  \n $11.80  \n\n\n   \n     1 Used from $11.80      '], '2130468128')",16.0,
0446969478,"(['  Hardcover  \n $15.89  \n\n\n   \n     2 Used from $4.99      '], '0446969478')",,15.89
1576874354,"(['  Hardcover  \n $51.99  \n\n\n   \n     10 Used from $39.98         10 New from $47.99         3 Collectible from $45.00      '], '1576874354')",,51.99
0679886303,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $9.99  \n\n\n   \n     75 Used from $1.16         6 New from $7.99         2 Collectible from $24.99      ', '  Paperback  \n $3.68  \n\n\n   \n     11 Used from $2.83         7 New from $6.41      ', '  Board book  \n $4.99  \n\n\n   \n     59 Used from $1.17         13 New from $4.35         2 Collectible from $3.24      '], '0679886303')",3.68,9.99
0880884347,"(['  Kindle  \n $0.19  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $7.99  \n\n\n   \n     74 Used from $1.34         10 New from $6.80         2 Collectible from $11.20      ', '  Paperback  \n $2.50  \n\n\n   \n     15 Used from $2.49         18 New from $2.50      ', '  Audio CD  \n $19.99  \n\n\n   \n     2 New from $10.99      '], '0880884347')",2.5,7.99
0744556562,"(['  Hardcover  \n $7.99  \n\n\n   \n     2 Used from $7.99      ', '  Paperback  \n $7.99  \n\n\n   \n     54 Used from $1.45         11 New from $7.21         1 Collectible from $7.64      '], '0744556562')",7.99,7.99
0316109169,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $7.99  \n\n\n   \n     34 Used from $1.64         2 New from $7.95         3 Collectible from $5.99      ', '  Paperback  \n $8.79  \n\n\n   \n     61 Used from $1.15         15 New from $6.83         1 Collectible from $7.50      '], '0316109169')",8.79,7.99
1845769287,"(['  Hardcover  \n $25.48  \n\n\n   \n     12 Used from $24.00         18 New from $25.48      '], '1845769287')",,25.48
0471097632,"(['  Hardcover  \n $6.65  \n\n\n   \n     6 Used from $5.58      ', '  Paperback  \n $36.62 - $64.56  \n\n\n   \n     1 Used from $36.62         1 New from $64.56      '], '0471097632')",36.62,6.65
0755113462,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n    \n                             from $18.04                \n\n\n   \n     5 Used from $24.99         2 Collectible from $18.04      ', '  Paperback  \n $14.95  \n\n\n   \n     4 Used from $8.75         1 New from $14.95      ', '  Mass Market Paperback  \n $0.02  \n\n\n   \n     2 Used from $0.02      '], '0755113462')",14.95,
1857997220,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $25.80  \n\n\n   \n     8 Used from $7.94         5 New from $25.23      ', '  Perfect Paperback  \n $4.95  \n\n\n   \n     4 Used from $4.69         2 New from $60.75      ', '  Mass Market Paperback  \n $10.56  \n\n\n   \n     136 Used from $1.18         3 New from $8.89         7 Collectible from $9.00      ', '  Audio CD  \n $5.09  \n\n\n   \n     2 Used from $4.69         8 New from $5.09      '], '1857997220')",4.95,
1568957742,"([], '1568957742')",,
0548028567,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $43.95  \n\n\n   \n     6 New from $42.85      ', '  Paperback  \n $3.99  \n\n\n   \n     1 New from $3.99      ', '  Mass Market Paperback  \n    \n                             from $35.70                \n\n\n   \n     1 Used from $35.70         1 New from $36.98      ', '  Audio CD  \n $23.99  \n\n\n   \n     1 New from $23.99      ', '  Board book  \n $6.39  \n\n\n   \n     2 Used from $6.39         1 Collectible from $14.95      '], '0548028567')",3.99,43.95
057105661X,"(['  Hardcover  \n $93.97  \n\n\n   \n     14 Used from $19.77         3 New from $93.97      ', '  Paperback  \n $8.90  \n\n\n   \n     13 Used from $4.93      '], '057105661X')",8.9,93.97
0007268653,"(['  Kindle  \n $15.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $9.56  \n\n\n   \n     21 Used from $2.06         2 Collectible from $11.06      ', '  Paperback  \n $30.81  \n\n\n   \n     13 Used from $0.85         3 New from $30.81      ', '  Mass Market Paperback  \n $5.08  \n\n\n   \n     4 Used from $5.08      '], '0007268653')",30.81,9.56
9707321075,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n    \n                        \n    —\n             \n\n\n   \n  ', '  Mass Market Paperback  \n $54.80  \n\n\n   \n     2 Used from $51.82         2 New from $54.80      '], '9707321075')",54.8,
1847240747,"(['  Hardcover  \n $15.12  \n\n\n   \n     10 Used from $4.50         3 New from $42.59         1 Collectible from $15.38      ', '  Paperback  \n $6.40  \n\n\n   \n     12 Used from $1.43         6 New from $9.52      '], '1847240747')",6.4,15.12
2742738096,"(['  Hardcover  \n $2.50  \n\n\n   \n     4 Used from $2.50         1 New from $42.34      ', '  Paperback  \n $28.78  \n\n\n   \n     13 Used from $4.45         9 New from $13.25      '], '2742738096')",28.78,2.5
0345318587,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $19.65  \n\n\n   \n     1 New from $19.65      ', '  Paperback  \n $11.91  \n\n\n   \n     82 Used from $2.07         29 New from $11.91         1 Collectible from $150.00      ', '  Mass Market Paperback  \n $13.99  \n\n\n   \n     28 Used from $1.99         1 Collectible from $7.49      ', '  Audio CD  \n $24.96  \n\n\n   \n     2 New from $15.99      ', '  Rag Book  \n    \n                             from $15.59                \n\n\n   \n     1 Used from $15.59      '], '0345318587')",11.91,
0373032889,"(['  Kindle & Comixology  \n $4.88  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $13.21  \n\n\n   \n     1 Used from $13.21      ', '  Paperback  \n $5.99  \n\n\n   \n     13 Used from $1.30      ', '  Mass Market Paperback  \n $7.36  \n\n\n   \n     85 Used from $0.99         1 New from $13.54      '], '0373032889')",5.99,13.21
3898857441,"(['  Paperback  \n $4.71  \n\n\n   \n     5 Used from $4.71         2 New from $50.90      '], '3898857441')",4.71,
2842054261,"(['  Paperback  \n $10.17  \n\n\n   \n     2 Used from $10.17         1 New from $23.44      ', '  Mass Market Paperback  \n $17.05  \n\n\n   \n     3 Used from $17.05      ', '  Board book  \n    \n                             from $37.99                \n\n\n   \n     1 Used from $37.99      '], '2842054261')",10.17,
0593055608,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $27.90  \n\n\n   \n     4 Used from $27.90         2 New from $69.35      ', '  Paperback  \n $2.00  \n\n\n   \n     13 Used from $2.00      ', '  Audio CD  \n $6.00  \n\n\n   \n     3 Used from $6.00      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '0593055608')",2.0,27.9
0747530998,"(['  Hardcover  \n $50.93  \n\n\n   \n     11 Used from $41.25         1 Collectible from $87.99      ', '  Paperback  \n $145.36  \n\n\n   \n     6 Used from $30.15      '], '0747530998')",145.36,50.93
075220369X,"(['  Paperback  \n $23.33  \n\n\n   \n     4 Used from $20.33      '], '075220369X')",23.33,
1414320477,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $8.49 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.99  \n\n\n   \n     8 Used from $5.00      ', '  Paperback  \n $14.99  \n\n\n   \n     57 Used from $1.39         6 New from $6.99      ', '  Audio CD  \n $28.99  \n\n\n   \n     2 Used from $28.99      '], '1414320477')",14.99,8.99
1417669381,"(['  Kindle & Comixology  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $33.05  \n\n\n   \n     1 Used from $29.05         1 New from $33.05         1 Collectible from $177.32      ', '  Paperback  \n $19.49  \n\n\n   \n     24 Used from $2.96         21 New from $14.59      '], '1417669381')",19.49,33.05
0413408906,"(['  Hardcover  \n    \n                             from $228.84                \n\n\n   \n     4 Used from $228.84      ', '  Paperback  \n $4.95  \n\n\n   \n     13 Used from $4.87         2 New from $27.73      '], '0413408906')",4.95,
0425026884,"(['  Hardcover  \n $44.00  \n\n\n   \n     2 Used from $44.00         1 Collectible from $85.00      ', '  Paperback  \n $8.57  \n\n\n   \n     9 Used from $4.58         1 Collectible from $18.00      ', '  Mass Market Paperback  \n $6.47  \n\n\n   \n     8 Used from $2.49      '], '0425026884')",8.57,44.0
0006475094,"(['  Kindle  \n $15.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     22 Used from $0.81         4 New from $42.98         1 Collectible from $25.00      ', '  Paperback  \n $7.90  \n\n\n   \n     5 Used from $7.89         1 New from $19.98      ', '  Audio CD  \n $14.99  \n\n\n   \n     4 New from $11.26      '], '0006475094')",7.9,4.95
1844074846,"(['  Kindle  \n $7.83 - $16.17  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $8.32 - $33.07  \n\n\n   \n     10 Used from $7.82         6 New from $29.05      '], '1844074846')",8.32,
3502512957,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Turtleback  \n $6.42  \n\n\n   \n     2 Used from $6.42      ', '  Paperback  \n $5.25  \n\n\n   \n     1 Used from $5.25      ', '  Mass Market Paperback  \n    \n                             from $10.66                \n\n\n   \n     5 Used from $10.66         9 New from $12.00      ', '  Audio CD  \n $5.28  \n\n\n   \n     2 Used from $5.28         1 New from $21.72      '], '3502512957')",5.25,
1740305019,"([], '1740305019')",,
0525935193,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $20.67  \n\n\n   \n     33 Used from $4.00         5 New from $20.49         14 Collectible from $6.26      ', '  Paperback  \n    \n                             from $23.00                \n\n\n   \n     2 Used from $23.00      ', '  Mass Market Paperback  \n $7.11  \n\n\n   \n     40 Used from $1.40         1 New from $29.95         2 Collectible from $13.00      ', '  Audio CD  \n $19.99  \n\n\n   \n     1 Used from $22.16         2 New from $19.99      '], '0525935193')",7.11,20.67
