,ISBN,result
20,0676529186,"(['  Kindle  \n $13.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $16.61 - $29.99  \n\n\n   \n     7 Used from $13.96         2 New from $29.99      ', '  Paperback  \n $7.24 - $13.49  \n\n\n   \n     296 Used from $0.75         51 New from $5.77         13 Collectible from $2.50      ', '  Preloaded Digital Audio Player  \n    \n                        \n    —\n             \n\n\n   \n  '], '0676529186')"
21,041613100X,"([], '041613100X')"
22,8125030697,"(['  Paperback  \n    \n                             from $12.93                \n\n\n   \n     1 Used from $19.05         8 New from $12.93      '], '8125030697')"
23,0785778667,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.37  \n\n\n   \n     98 Used from $1.45         12 New from $14.00         14 Collectible from $7.50      ', '  Paperback  \n $7.25  \n\n\n   \n     80 Used from $1.38         1 New from $9.98         4 Collectible from $13.97      ', '  Audio CD  \n    \n                        \n    —\n             \n\n\n   \n  '], '0785778667')"
24,0440000874,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $26.00  \n\n\n   \n     14 Used from $3.21         6 New from $19.44      ', '  Paperback  \n $12.78  \n\n\n   \n     92 Used from $1.37         26 New from $10.95         1 Collectible from $10.00      '], '0440000874')"
25,0099472481,"(['  Kindle  \n $7.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $18.30  \n\n\n   \n     8 Used from $14.32         1 New from $56.10         1 Collectible from $50.00      ', '  Paperback  \n $7.33  \n\n\n   \n     4 Used from $7.33         6 New from $9.64      ', '  Mass Market Paperback  \n    \n                             from $33.43                \n\n\n   \n     2 Used from $33.43      ', '  Audio, Cassette  \n $8.25  \n\n\n   \n     1 Used from $8.25      '], '0099472481')"
26,0374155003,"(['  Hardcover  \n $21.99  \n\n\n   \n     9 Used from $17.00         3 Collectible from $34.25      ', '  Paperback  \n $17.00  \n\n\n   \n     7 Used from $7.89         12 New from $12.91      '], '0374155003')"
27,0451164261,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $1.99 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n    \n                             from $15.00                \n\n\n   \n     2 Used from $28.00         3 Collectible from $15.00      ', '  Paperback  \n $13.95  \n\n\n   \n     10 Used from $4.53         1 New from $13.95         1 Collectible from $25.00      ', '  Mass Market Paperback  \n $8.93  \n\n\n   \n     9 Used from $5.00      ', '  Audio CD  \n $14.99  \n\n\n   \n     3 New from $11.26      '], '0451164261')"
28,0670885754,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $11.39  \n\n\n   \n     76 Used from $1.19         8 New from $5.99         3 Collectible from $6.95      ', '  Paperback  \n $60.80  \n\n\n   \n     7 Used from $51.08      ', '  Mass Market Paperback  \n $5.15  \n\n\n   \n     57 Used from $1.00         3 New from $5.15         2 Collectible from $4.25      ', '  MP3 CD  \n $11.89  \n\n\n   \n     4 New from $8.46      '], '0670885754')"
29,0807274259,"(['  Kindle  \n $6.42  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.99  \n\n\n   \n     27 Used from $3.46         18 New from $11.49      ', '  Paperback  \n $7.99  \n\n\n   \n     198 Used from $0.99         29 New from $4.99         7 Collectible from $5.29      ', '  Mass Market Paperback  \n    \n                             from $2,246.99                \n\n\n   \n     1 Used from $2,246.99         1 New from $2,246.99      '], '0807274259')"
