,ISBN,result
0,1416593063,"([], '1416593063')"
1,0613496744,"(['  Kindle  \n $0.00  \n   \n Read with \n                    Kindle Unlimited  to also enjoy access to over 3 million more titles      $9.99 to buy    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  School & Library Binding  \n $23.52  \n\n\n   \n     3 Used from $2.51         1 New from $23.52      ', '  Paperback  \n $14.99  \n\n\n   \n     1 New from $14.99      ', '  Mass Market Paperback  \n $28.82  \n\n\n   \n     24 Used from $2.99         1 Collectible from $59.99      ', '  Audio CD  \n $67.08  \n\n\n   \n     2 Used from $74.46         6 New from $56.20      ', '  Multimedia CD  \n    \n                             from $99.99                \n\n\n   \n     1 New from $99.99      '], '0613496744')"
2,0553452711,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.42  \n\n\n   \n     2 Used from $10.42         1 New from $99.95      ', '  Paperback  \n $16.77  \n\n\n   \n     12 Used from $5.22         5 New from $11.02      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     58 Used from $1.39         9 New from $5.85      ', '  Audio, Cassette  \n $3.79  \n\n\n   \n     3 Used from $3.79      '], '0553452711')"
3,1417735104,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Library Binding  \n $18.80  \n\n\n   \n     4 Used from $9.99         1 New from $18.80         1 Collectible from $39.99      ', '  Paperback  \n $7.99  \n\n\n   \n     70 Used from $1.15         11 New from $6.95         1 Collectible from $10.99      '], '1417735104')"
4,0066213142,"([], '0066213142')"
5,0446693847,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $20.00  \n\n\n   \n     49 Used from $1.37         7 New from $11.11         3 Collectible from $16.45      ', '  Paperback  \n $14.19  \n\n\n   \n     40 Used from $1.70         19 New from $14.19      ', '  Audio CD  \n $4.00  \n\n\n   \n     2 Used from $4.00      '], '0446693847')"
6,0449141993,"(['  Hardcover  \n $75.00  \n\n\n   \n     4 Used from $75.00      ', '  Paperback  \n $5.95  \n\n\n   \n     14 Used from $0.76         1 Collectible from $15.95      ', '  Mass Market Paperback  \n $6.48  \n\n\n   \n     13 Used from $1.85      '], '0449141993')"
7,143440174X,"(['  Hardcover  \n $19.99  \n\n\n   \n     1 Used from $26.20         7 New from $19.99      ', '  Paperback  \n $8.64  \n\n\n   \n     3 Used from $9.56         7 New from $8.64      '], '143440174X')"
8,1417776730,"([], '1417776730')"
9,0199537488,"(['  Paperback  \n $6.46 - $16.04  \n\n\n   \n     13 Used from $2.50         14 New from $9.38      '], '0199537488')"
10,1842121065,"(['  Kindle  \n $8.95  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $39.95  \n\n\n   \n     2 New from $39.95      ', '  Paperback  \n $10.98  \n\n\n   \n     7 Used from $3.50         1 New from $62.63         1 Collectible from $18.00      '], '1842121065')"
11,0749816058,"([], '0749816058')"
12,0689810164,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $17.99  \n\n\n   \n     24 Used from $5.78         16 New from $13.18      ', '  Paperback  \n $4.99  \n\n\n   \n     74 Used from $0.99         23 New from $2.89         2 Collectible from $7.00      ', '  Audio CD  \n $12.95  \n\n\n   \n     1 New from $12.95      '], '0689810164')"
13,037593653X,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Library Binding  \n $4.75  \n\n\n   \n     4 Used from $4.75         1 Collectible from $14.70      ', '  Paperback  \n $8.99  \n\n\n   \n     22 Used from $1.36         12 New from $6.80      ', '  Mass Market Paperback  \n $11.79  \n\n\n   \n     13 Used from $1.61      '], '037593653X')"
14,0497900653,"(['  Kindle  \n $0.95  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.54  \n\n\n   \n     5 Used from $13.42         7 New from $13.54      ', '  Paperback  \n $17.95  \n\n\n   \n     1 New from $17.95      ', '  Mass Market Paperback  \n $5.95  \n\n\n   \n     60 Used from $2.25         19 New from $4.94      ', '  Audio CD  \n $19.95  \n\n\n   \n     2 New from $9.97      ', '  DVD-ROM  \n $91.37  \n\n\n   \n     1 New from $91.37      '], '0497900653')"
15,0545019427,"(['  Library Binding  \n $29.24  \n\n\n   \n     1 Used from $29.24      ', '  Paperback  \n $18.39  \n\n\n   \n     44 Used from $1.35         5 New from $18.39      '], '0545019427')"
16,0743579941,"(['  Kindle  \n $15.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $17.87  \n\n\n   \n     129 Used from $1.43         20 New from $9.40         8 Collectible from $12.00      ', '  Paperback  \n $31.99  \n\n\n   \n     12 Used from $14.65         15 New from $25.95         1 Collectible from $41.99      ', '  Mass Market Paperback  \n $7.71  \n\n\n   \n     98 Used from $1.29         4 New from $19.99      ', '  Audio CD  \n $24.95  \n\n\n   \n     24 Used from $2.63         2 New from $20.99      '], '0743579941')"
17,0571211879,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $22.00  \n\n\n   \n     7 Used from $7.49         1 New from $22.00      ', '  Paperback  \n $13.00  \n\n\n   \n     10 Used from $5.62         12 New from $11.64      '], '0571211879')"
18,1425045421,"([], '1425045421')"
19,0812026020,"(['  Paperback  \n $11.40 - $53.99  \n\n\n   \n     54 Used from $1.56         3 New from $49.00         2 Collectible from $5.19      '], '0812026020')"
20,1845767098,"(['  Paperback  \n    \n                             from $33.29                \n\n\n   \n     1 Used from $33.29         1 New from $57.63      '], '1845767098')"
21,0007197497,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $17.51  \n\n\n   \n     10 Used from $6.30         2 New from $16.17      '], '0007197497')"
22,0300044704,"(['  Kindle  \n $15.66  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $80.50  \n\n\n   \n     6 Used from $77.33         1 New from $148.83         1 Collectible from $37.59      ', '  Paperback  \n $29.00  \n\n\n   \n     16 Used from $13.49         7 New from $29.00         1 Collectible from $20.00      ', '  Audio CD  \n $39.65  \n\n\n   \n     2 New from $19.99      '], '0300044704')"
23,0312552939,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $10.31  \n\n\n   \n     14 Used from $7.24         3 Collectible from $34.99      ', '  Paperback  \n $8.09  \n\n\n   \n     41 Used from $1.18         4 New from $32.95         1 Collectible from $19.92      ', '  Mass Market Paperback  \n $46.50  \n\n\n   \n     17 Used from $1.95         1 New from $46.50         1 Collectible from $39.95      '], '0312552939')"
24,2709621282,"(['  Hardcover  \n $8.50  \n\n\n   \n     3 Used from $8.50      ', '  Paperback  \n $2.50  \n\n\n   \n     7 Used from $2.50      '], '2709621282')"
25,0979893305,"(['  Paperback  \n $9.99  \n\n\n   \n     6 Used from $4.49         1 New from $9.99         2 Collectible from $7.25      '], '0979893305')"
26,9681640594,"(['  Hardcover  \n $11.50  \n\n\n   \n     11 Used from $3.50         3 New from $10.25      ', '  Paperback  \n    \n                             from $999.46                \n\n\n   \n     1 Used from $999.46      '], '9681640594')"
27,0714530255,"(['  Hardcover  \n $72.11  \n\n\n   \n     8 Used from $11.62      ', '  Paperback  \n $28.04  \n\n\n   \n     6 Used from $3.18      '], '0714530255')"
28,2290034479,"(['  Pocket Book  \n    \n                             from $17.38                \n\n\n   \n     2 Used from $17.38      '], '2290034479')"
29,0786219459,"(['  Kindle  \n $14.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $16.00  \n\n\n   \n     25 Used from $5.67         3 New from $35.15         2 Collectible from $34.00      ', '  Paperback  \n $24.95  \n\n\n   \n     1 Used from $22.68         1 New from $24.95      ', '  Mass Market Paperback  \n $4.45  \n\n\n   \n     30 Used from $1.43         1 Collectible from $8.22      ', '  Audio CD  \n $20.36  \n\n\n   \n     2 New from $14.97      '], '0786219459')"
30,1433244411,"(['  Kindle  \n $0.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $23.97 - $30.00  \n\n\n   \n     3 Used from $19.99         1 New from $30.00         1 Collectible from $199.99      ', '  Paperback  \n $6.00  \n\n\n   \n     1 New from $6.00      ', '  Mass Market Paperback  \n $6.86 - $29.95  \n\n\n   \n     10 Used from $2.87         2 New from $28.99         1 Collectible from $25.90      ', '  Audio CD  \n $36.57  \n\n\n   \n     7 Used from $13.96         2 New from $29.97      '], '1433244411')"
31,0199535787,"(['  Hardcover  \n $38.27  \n\n\n   \n     1 Used from $38.27      ', '  Paperback  \n $8.52 - $10.95  \n\n\n   \n     41 Used from $2.74         14 New from $9.14      '], '0199535787')"
32,0739368915,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $11.90  \n\n\n   \n     166 Used from $1.16         30 New from $2.00         19 Collectible from $1.40      ', '  Paperback  \n $19.53  \n\n\n   \n     22 Used from $3.99         3 New from $19.53      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     145 Used from $0.99         11 New from $5.99         4 Collectible from $3.88      ', '  Audio CD  \n $2.99  \n\n\n   \n     22 Used from $2.64         3 New from $45.98         2 Collectible from $16.00      '], '0739368915')"
33,0606158677,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Paperback  \n    \n                             from $20.91                \n\n\n   \n     1 New from $20.91      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     47 Used from $1.47         11 New from $6.62      '], '0606158677')"
