,ISBN,result
0,081615290X,"([], '081615290X')"
1,1585671452,"(['  Kindle  \n $2.51  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $5.99  \n\n\n   \n     17 Used from $3.99         3 Collectible from $8.00      ', '  Paperback  \n $8.56  \n\n\n   \n     10 Used from $3.60         6 New from $8.14      '], '1585671452')"
2,0613338324,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  School & Library Binding  \n $17.80  \n\n\n   \n     8 Used from $6.50         2 New from $12.50      ', '  Paperback  \n $6.99  \n\n\n   \n     61 Used from $1.18         16 New from $5.99      ', '  Audio CD  \n $13.19  \n\n\n   \n     2 New from $9.99      '], '0613338324')"
3,0373270917,"(['  Kindle  \n $6.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $28.99  \n\n\n   \n     4 Used from $12.35         1 New from $28.99      ', '  Paperback  \n $128.00  \n\n\n   \n     5 Used from $20.00         2 New from $120.71      ', '  Mass Market Paperback  \n $6.99  \n\n\n   \n     46 Used from $1.15         3 New from $34.18      '], '0373270917')"
4,0451412540,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $58.99  \n\n\n   \n     12 Used from $24.97         2 New from $58.99         3 Collectible from $37.59      ', '  Paperback  \n $51.19  \n\n\n   \n     13 Used from $6.44      ', '  Mass Market Paperback  \n $6.55  \n\n\n   \n     44 Used from $2.59         1 Collectible from $699.79      ', '  Audio, Cassette  \n    \n                             from $4.01                \n\n\n   \n     2 Used from $4.01      '], '0451412540')"
5,0753809621,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Library Binding  \n $25.80  \n\n\n   \n     8 Used from $7.94         5 New from $25.23      ', '  Paperback  \n $10.18  \n\n\n   \n     155 Used from $1.49         24 New from $9.60      ', '  Mass Market Paperback  \n $10.56  \n\n\n   \n     137 Used from $1.18         3 New from $8.89         7 Collectible from $9.00      ', '  Audio CD  \n $5.09  \n\n\n   \n     2 Used from $4.69         8 New from $5.09      '], '0753809621')"
6,0375925031,"(['  Library Binding  \n $6.20  \n\n\n   \n     9 Used from $4.99         1 Collectible from $27.00      '], '0375925031')"
7,0143143751,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.01  \n\n\n   \n     59 Used from $0.99         20 New from $12.48         5 Collectible from $8.00      ', '  Paperback  \n $9.99  \n\n\n   \n     83 Used from $1.62         11 New from $7.79         1 Collectible from $15.98      ', '  Mass Market Paperback  \n    \n                             from $26.91                \n\n\n   \n     1 New from $26.91      ', '  Audio CD  \n $12.98  \n\n\n   \n     11 Used from $7.28      '], '0143143751')"
8,0552119601,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $21.95  \n\n\n   \n     23 Used from $1.37         1 New from $60.43         1 Collectible from $49.00      ', '  Paperback  \n $9.56  \n\n\n   \n     32 Used from $0.01         1 New from $195.00      ', '  Mass Market Paperback  \n $33.32  \n\n\n   \n     1 Used from $33.32      ', '  Audio, Cassette  \n    \n                        \n    —\n             \n\n\n   \n  '], '0552119601')"
9,3442839629,"(['  Paperback  \n    \n                             from $58.43                \n\n\n   \n     2 Used from $58.43      '], '3442839629')"
10,2742729054,"(['  Paperback  \n $2.50  \n\n\n   \n     5 Used from $2.50      ', '  Pocket Book  \n $19.25  \n\n\n   \n     4 Used from $12.30         4 New from $19.24      '], '2742729054')"
11,1400136490,"(['  Kindle  \n $14.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $11.28  \n\n\n   \n     84 Used from $1.95         8 New from $16.58         5 Collectible from $16.44      ', '  Paperback  \n $13.98  \n\n\n   \n     97 Used from $1.95         33 New from $8.10         1 Collectible from $24.99      ', '  Audio CD  \n $19.95  \n\n\n   \n     1 Used from $19.95      '], '1400136490')"
12,0224600885,"([], '0224600885')"
13,3453580451,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $18.58  \n\n\n   \n     3 Used from $7.56         6 New from $18.57      '], '3453580451')"
14,0451513207,"(['  Kindle  \n $0.29  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.80  \n\n\n   \n     1 New from $13.80      ', '  Paperback  \n $3.58  \n\n\n   \n     1 New from $3.58      ', '  Mass Market Paperback  \n $6.98  \n\n\n   \n     5 Used from $6.98      ', '  Audio CD  \n $19.95  \n\n\n   \n     2 New from $9.97      '], '0451513207')"
15,1582876150,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $8.36 - $22.74  \n\n\n   \n     6 Used from $8.36         7 New from $22.74      ', '  Paperback  \n $3.88  \n\n\n   \n     1 New from $3.88      ', '  Comics  \n $14.99  \n\n\n   \n     4 Used from $4.87         3 Collectible from $12.95      '], '1582876150')"
16,0441478085,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $21.49  \n\n\n   \n     11 Used from $16.89         23 New from $16.05         3 Collectible from $75.00      ', '  Paperback  \n    \n                             from $69.99                \n\n\n   \n     1 Collectible from $69.99      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     32 Used from $3.79         20 New from $7.41         1 Collectible from $8.50      ', '  Audio CD  \n $29.59  \n\n\n   \n     2 New from $21.49      '], '0441478085')"
17,0606275665,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  School & Library Binding  \n $10.69  \n\n\n   \n     1 Used from $10.69      ', '  Paperback  \n $36.35  \n\n\n   \n     5 Used from $36.35      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     69 Used from $1.39         6 New from $5.00         2 Collectible from $8.50      ', '  Audio CD  \n $14.99  \n\n\n   \n     4 New from $11.30      '], '0606275665')"
18,4091512186,"(['  Comics  \n $19.99  \n\n\n   \n     6 Used from $5.00         10 New from $17.39      '], '4091512186')"
19,1559277742,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $8.89  \n\n\n   \n     224 Used from $1.01         80 New from $3.05         5 Collectible from $8.01      ', '  Paperback  \n    \n                             from $8.99                \n\n\n   \n     1 Used from $8.99         1 New from $10.90         4 Collectible from $10.00      ', '  Audio, Cassette  \n $7.09  \n\n\n   \n     3 Used from $4.99         2 New from $8.99      '], '1559277742')"
20,2218733978,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Paperback  \n $6.40  \n\n\n   \n     5 Used from $6.40      ', '  Mass Market Paperback  \n $4.50  \n\n\n   \n     60 Used from $2.50      ', '  Pocket Book  \n $3.15 - $22.00  \n\n\n   \n     6 Used from $3.15         5 New from $9.58      '], '2218733978')"
21,1594489920,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $13.27  \n\n\n   \n     23 Used from $2.16         10 New from $13.17         2 Collectible from $13.58      ', '  Paperback  \n $22.00  \n\n\n   \n     18 Used from $3.50         3 New from $18.00      '], '1594489920')"
22,2501022556,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $13.99  \n\n\n   \n     1 New from $13.99      ', '  Paperback  \n $3.03  \n\n\n   \n     7 Used from $2.50      ', '  Mass Market Paperback  \n $3.54 - $5.38  \n\n\n   \n     9 Used from $3.00         9 New from $5.38      ', '  Pocket Book  \n $2.02 - $20.72  \n\n\n   \n     21 Used from $2.02         2 New from $20.72      '], '2501022556')"
23,2253039829,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $2.50  \n\n\n   \n     5 Used from $2.50         1 New from $34.99      ', '  Paperback  \n $2.50  \n\n\n   \n     4 Used from $2.50      ', '  Board book  \n $4.12  \n\n\n   \n     4 Used from $4.12      '], '2253039829')"
24,1406742651,"(['  Hardcover  \n $27.95  \n\n\n   \n     3 New from $27.95      ', '  Paperback  \n $36.82  \n\n\n   \n     1 Used from $30.99         5 New from $36.82      '], '1406742651')"
25,0060270888,"(['  Library Binding  \n $18.86  \n\n\n   \n     13 Used from $6.59         10 New from $18.86      ', '  Paperback  \n $7.99  \n\n\n   \n     132 Used from $0.99         24 New from $6.98         5 Collectible from $3.10      ', '  Board book  \n    \n                             from $1.22                \n\n\n   \n     119 Used from $1.22         22 New from $7.98      '], '0060270888')"
26,0345366905,"(['  Hardcover  \n $7.93  \n\n\n   \n     11 Used from $2.99         3 Collectible from $20.79      ', '  Paperback  \n $6.49  \n\n\n   \n     7 Used from $2.53      ', '  Mass Market Paperback  \n $11.13  \n\n\n   \n     21 Used from $3.12         1 Collectible from $7.99      '], '0345366905')"
